data,spx_pe,ibov_valuation_idx
2012-07-05,15.639018,
2012-07-06,15.4915,
2012-07-09,15.466112,
2012-07-10,15.340436,
2012-07-11,15.340207,
2012-07-12,15.263704,
2012-07-13,15.515515,
2012-07-16,15.479607,
2012-07-17,15.594306,
2012-07-18,15.698483,
2012-07-19,15.741138,
2012-07-20,15.582756,
2012-07-23,15.443928,
2012-07-24,15.3043,
2012-07-25,15.299497,
2012-07-26,15.552566,
2012-07-27,15.849317,
2012-07-30,15.841656,
2012-07-31,15.773271,
2012-08-01,15.813122,
2012-08-02,15.694466,
2012-08-03,15.993293,
2012-08-06,16.030546,
2012-08-07,16.11241,
2012-08-08,16.122413,
2012-08-09,16.129082,
2012-08-10,16.16438,
2012-08-13,16.144144,
2012-08-14,16.142075,
2012-08-15,16.160471,
2012-08-16,16.275219,
2012-08-17,16.305688,
2012-08-20,16.305343,
2012-08-21,16.248314,
2012-08-22,16.251993,
2012-08-23,16.120803,
2012-08-24,16.224858,
2012-08-27,16.216924,
2012-08-28,16.203818,
2012-08-29,16.2175,
2012-08-30,16.090909,
2012-08-31,16.172543,
2012-09-04,16.24208,
2012-09-05,16.224739,
2012-09-06,16.556301,
2012-09-07,16.623353,
2012-09-10,16.521156,
2012-09-11,16.572949,
2012-09-12,16.607631,
2012-09-13,16.878497,
2012-09-14,16.945318,
2012-09-17,16.892369,
2012-09-18,16.870751,
2012-09-19,16.890752,
2012-09-20,16.881619,
2012-09-21,16.880347,
2012-09-24,16.842659,
2012-09-25,16.66578,
2012-09-26,16.570173,
2012-09-27,16.730058,
2012-09-28,16.655145,
2012-10-01,16.698663,
2012-10-02,16.713229,
2012-10-03,16.773804,
2012-10-04,16.894147,
2012-10-05,16.888714,
2012-10-08,16.830334,
2012-10-09,16.663866,
2012-10-10,16.56075,
2012-10-11,16.563986,
2012-10-12,16.514855,
2012-10-15,16.64826,
2012-10-16,16.819237,
2012-10-17,16.888483,
2012-10-18,16.847212,
2012-10-19,16.568031,
2012-10-22,16.575314,
2012-10-23,16.335902,
2012-10-24,16.2855,
2012-10-25,16.334284,
2012-10-26,16.322376,
2012-10-31,16.32492,
2012-11-01,16.502658,
2012-11-02,16.347872,
2012-11-05,16.383246,
2012-11-06,16.511907,
2012-11-07,16.120492,
2012-11-08,15.923744,
2012-11-09,15.950793,
2012-11-12,15.952875,
2012-11-13,15.889296,
2012-11-14,15.669197,
2012-11-15,15.644227,
2012-11-16,15.719945,
2012-11-19,16.032175,
2012-11-20,16.04281,
2012-11-21,16.080033,
2012-11-23,16.289496,
2012-11-26,16.256435,
2012-11-27,16.17147,
2012-11-28,16.298513,
2012-11-29,16.368102,
2012-11-30,16.370762,
2012-12-03,16.292451,
2012-12-04,16.264594,
2012-12-05,16.290371,
2012-12-06,16.344237,
2012-12-07,16.391977,
2012-12-10,16.397527,
2012-12-11,16.504912,
2012-12-12,16.51231,
2012-12-13,16.407929,
2012-12-14,16.340076,
2012-12-17,16.534042,
2012-12-18,16.723963,
2012-12-19,16.597041,
2012-12-20,16.688128,
2012-12-21,16.531615,
2012-12-24,16.491273,
2012-12-26,16.412322,
2012-12-27,16.392324,
2012-12-28,16.21119,
2012-12-31,16.485839,
2013-01-02,16.827478,
2013-01-03,16.792383,
2013-01-04,16.874079,
2013-01-07,16.821379,
2013-01-08,16.766838,
2013-01-09,16.811369,
2013-01-10,16.939092,
2013-01-11,16.938287,
2013-01-14,16.922523,
2013-01-15,16.941623,
2013-01-16,16.94496,
2013-01-17,17.040579,
2013-01-18,17.098573,
2013-01-22,17.174287,
2013-01-23,17.200177,
2013-01-24,17.200291,
2013-01-25,17.293955,
